,Item,Sentence,Verb,Arg,Subject_Token,Verb_Token,AnimateSubject,Length,key
1,151,When/did/the/wine/age/in/the/bottle?,Causative,Intrans,wine,age,0,3,When did the wine age in the bottle?
2,151,What/did/the/pharmacist/age/in/the/bottle?,Causative,Trans,pharmacist,age,1,3,What did the pharmacist age in the bottle?
3,188,When/did/the/treat/balance/on/the/dog's/nose?,Causative,Intrans,treat,balance,0,7,When did the treat balance on the dog's nose?
4,188,What/did/the/trainer/balance/on/the/dog's/nose?,Causative,Trans,trainer,balance,1,7,What did the trainer balance on the dog's nose?
5,129,When/did/the/light/change/at/the/intersection?,Causative,Intrans,light,change,0,6,When did the light change at the intersection?
6,129,What/did/the/town council/change/at/the/intersection?,Causative,Trans,town council,change,1,6,What did the town council change at the intersection?
7,121,When/did/the/bowl/chip/before/the/dinner/party?,Causative,Intrans,bowl,chip,0,4,When did the bowl chip before the dinner party?
8,121,What/did/the/butler/chip/before/the/dinner/party?,Causative,Trans,butler,chip,1,4,What did the butler chip before the dinner party?
9,204,When/did/the/hiker/chop/for/the/camp/fire?,Activity,Intrans,hiker,chop,1,4,When did the hiker chop for the camp fire?
10,204,What/did/the/hiker/chop/for/the/camp/fire?,Activity,Trans,hiker,chop,1,4,What did the hiker chop for the camp fire?
11,279,When/did/the/waitress/clean/off/the/table?,Activity,Intrans,waitress,clean,1,5,When did the waitress clean off the table?
12,279,What/did/the/waitress/clean/off/the/table?,Activity,Trans,waitress,clean,1,5,What did the waitress clean off the table?
13,158,When/did/the/precipitation/clear/from/the/rainforest?,Causative,Intrans,precipitation,clear,0,5,When did the precipitation clear from the rainforest?
14,158,What/did/the/loggers/clear/from/the/rainforest?,Causative,Trans,loggers,clear,1,5,What did the loggers clear from the rainforest?
15,163,When/did/crowd/clear/out/of/the/auditorium?,Causative,Intrans,crowd,clear,1,5,When did crowd clear out of the auditorium?
16,163,What/did/the/escorts/clear/out/of/the/auditorium?,Causative,Trans,escorts,clear,1,5,What did the escorts clear out of the auditorium?
17,177,When/did/the/artery/clog/in/the/heart?,Causative,Intrans,artery,clog,0,4,When did the artery clog in the heart?
18,177,What/did/the/plaque/clog/in/the/heart?,Causative,Trans,plaque,clog,0,4,What did the plaque clog in the heart?
19,152,When/did/the/registers/close/in/the/store?,Causative,Intrans,registers,close,0,5,When did the registers close in the store?
20,152,What/did/the/cashier/close/in/the/store?,Causative,Trans,cashier,close,1,5,What did the cashier close in the store?
21,160,When/did/the/investigator/collect/from/the/crime/scene?,Causative,Intrans,investigator,collect,1,7,When did the investigator collect from the crime scene?
22,160,What/did/the/detective/collect/from/the/crime/scene?,Causative,Trans,detective,collect,1,7,What did the detective collect from the crime scene?
23,161,When/did/the/defendant/collect/from/the/insurance/agency?,Causative,Intrans,defendant,collect,1,7,When did the defendant collect from the insurance agency?
24,161,What/did/the/victim/collect/from/the/insurance/agency?,Causative,Trans,victim,collect,1,7,What did the victim collect from the insurance agency?
25,133,When/did/the/soup/cool/in/the/refrigerator?,Causative,Intrans,soup,cool,0,4,When did the soup cool in the refrigerator?
26,133,What/did/the/bartender/cool/in/the/refrigerator?,Causative,Trans,bartender,cool,1,4,What did the bartender cool in the refrigerator?
27,106,When/did/the/pipe/corrode/in/the/bathroom/wall?,Causative,Intrans,pipe,corrode,0,7,When did the pipe corrode in the bathroom wall?
28,106,What/did/the/leak/corrode/in/the/bathroom/wall?,Causative,Trans,leak,corrode,0,7,What did the leak corrode in the bathroom wall?
29,122,When/did/the/vase/crack/in/the/living/room?,Causative,Intrans,vase,crack,0,5,When did the vase crack in the living room?
30,122,What/did/the/cleaning service/crack/in/the/living/room?,Causative,Trans,cleaning service,crack,1,5,What did the cleaning service crack in the living room?
31,155,When/did/the/dirtbike rider/crash/into/the/tree?,Causative,Intrans,dirtbike rider,crash,1,5,When did the dirtbike rider crash into the tree?
32,155,What/did/the/driver/crash/into/the/tree?,Causative,Trans,driver,crash,1,5,What did the driver crash into the tree?
33,164,When/did/the/piecrust/crumble/in/the/bakery?,Causative,Intrans,piecrust,crumble,0,7,When did the piecrust crumble in the bakery?
34,164,What/did/the/mixer/crumble/in/the/bakery?,Causative,Trans,mixer,crumble,0,7,What did the mixer crumble in the bakery?
35,107,When/did/the/tire/deflate/at/the/automotive/repair/shop?,Causative,Intrans,tire,deflate,0,7,When did the tire deflate at the automotive repair shop?
36,107,What/did/the/mechanic/deflate/at/the/automotive/repair/shop?,Causative,Trans,mechanic,deflate,1,7,What did the mechanic deflate at the automotive repair shop?
37,109,When/did/the/powder/dissolve/in/the/beaker?,Causative,Intrans,powder,dissolve,0,8,When did the powder dissolve in the beaker?
38,109,What/did/the/chemist/dissolve/in/the/beaker?,Causative,Trans,chemist,dissolve,1,8,What did the chemist dissolve in the beaker?
39,253,When/did/the/illustrator/draw/for/a/children's/book?,Activity,Intrans,illustrator,draw,1,4,When did the illustrator draw for a children's book?
40,253,What/did/the/illustrator/draw/for/a/children's/book?,Activity,Trans,illustrator,draw,1,4,What did the illustrator draw for a children's book?
