,verb,frame,relfreq,freqcnt
0,age,NONE,0.600796,453
1,age,NP,0.16313,123
2,age,PP,0.139257,105
3,age,NP_NP,0.04244,32
4,age,NP_PP,0.030504000000000003,23
5,age,NP,0.023873,18
6,balance,NP,0.528957,4253
7,balance,NP_PP,0.224775,2118
8,balance,NP_NP,0.030224,397
9,balance,NP PRT +,0.031699,47
10,balance,NONE,0.132271,0
11,balance,PP,0.052075,0
12,change,NP,0.5317029999999999,4323
13,change,NONE,0.34474099999999996,2884
14,change,PP,0.059336,553
15,change,NP_PP,0.028718,0
16,change,NP,0.035502,0
17,chip,PP,0.240325,316
18,chip,NONE,0.149091,214
19,chip,NP,0.189565,168
20,chip,NP_PP,0.152955,122
21,chip,PP_PP,0.06089,93
22,chip,PP,0.059137999999999996,15
23,chip,PP,0.029311,7
24,chip,NP PRT +,0.080183,6
25,chip,PP,0.038542,0
26,chop,NP,0.366369,1925
27,chop,NP_NP,0.124956,1376
28,chop,NONE,0.12265899999999999,1022
29,chop,NP_PP,0.155611,387
30,chop,PP,0.052599,252
31,chop,NP PRT +,0.15149,159
32,chop,NONE,0.026316000000000003,0
33,clean,NP,0.370185,1910
34,clean,NONE,0.228158,933
35,clean,NP PRT +,0.120148,190
36,clean,NP_PP,0.050189,27
37,clean,PP,0.046264,0
38,clean,NP_PP,0.046264,0
39,clean,NONE,0.092528,0
40,clean,PP,0.046264,0
41,clear,NP,0.29052100000000003,2352
42,clear,NONE,0.17771900000000002,1003
43,clear,NP_PP,0.090239,518
44,clear,NP_PP,0.043147000000000005,516
45,clear,SCOMP,0.030019,359
46,clear,PP,0.025922000000000004,310
47,clear,NP PRT +,0.104301,125
48,clear,NP_PP,0.050436,42
49,clear,PP,0.046924,0
50,clear,NONE,0.093849,0
51,clear,PP,0.046924,0
52,clog,NP,0.44700100000000004,933
53,clog,NP_PP,0.176302,438
54,clog,NONE,0.207997,286
55,clog,NP_NP,0.043456,171
56,clog,PP,0.094443,162
57,clog,NP PRT +,0.030801,8
58,close,NP,0.478684,3403
59,close,NONE,0.23348200000000002,1253
60,close,NP_PP,0.137227,916
61,close,PP,0.11393299999999999,769
62,close,NP PRT +,0.036674,104
63,cool,NONE,0.380419,3204
64,cool,NP,0.41330600000000006,2709
65,cool,PP,0.091954,522
66,cool,NP_PP,0.077792,197
67,cool,NP PRT +,0.036528,114
68,corrode,NP,0.466912,127
69,corrode,NONE,0.319853,87
70,corrode,NP_PP,0.110294,30
71,corrode,PP,0.073529,20
72,corrode,NP,0.029412,8
73,crash,PP,0.342334,3027
74,crash,NONE,0.336642,2354
75,crash,PP_PP,0.023619,292
76,crash,AP,0.053679,61
77,crash,NP,0.048745,0
78,crash,NP,0.048745,0
79,crash,NP,0.048745,0
80,crash,NP_PP,0.048745,0
81,crash,NP,0.048745,0
82,crumble,NONE,0.457607,904
83,crumble,PP,0.203084,420
84,crumble,NP_PP,0.07559,31
85,crumble,PP,0.024709000000000002,7
86,crumble,NP PRT +,0.030695999999999998,6
87,crumble,NP,0.208313,0
88,deflate,NP,0.5184529999999999,295
89,deflate,NONE,0.17574700000000001,100
90,deflate,NP_PP,0.08963099999999999,51
91,deflate,NP_NP,0.077329,44
92,deflate,SING PRT +,0.045694,26
93,deflate,NP,0.033392000000000005,19
94,deflate,PP,0.033392000000000005,19
95,deflate,NP_AP,0.026362,15
96,dissolve,NP,0.49920699999999996,4016
97,dissolve,NP_PP,0.14626,1129
98,dissolve,NONE,0.20978200000000002,1046
99,dissolve,PP,0.11579,869
100,dissolve,NP PRT +,0.028960000000000003,7
101,draw,NP,0.384955,3329
102,draw,NONE,0.151473,1110
103,draw,NP_PP,0.165001,785
104,draw,PP,0.09968400000000001,511
105,draw,NP PRT +,0.071498,185
106,draw,PP_PP,0.029567000000000003,21
107,draw,PP,0.028443,8
108,draw,NP,0.027750999999999998,0
109,draw,PP,0.041627,0
110,drink,NP,0.29627800000000004,2778
111,drink,NONE,0.24935,2115
112,drink,PP,0.144452,633
113,drink,NP_PP,0.081746,451
114,drink,NP_NP,0.024349000000000003,344
115,drink,NP PRT +,0.053503999999999996,52
116,drink,PP,0.050602,11
117,drink,PP,0.049894,1
118,drink,PP,0.049824,0
119,dry,NONE,0.34713,1475
120,dry,NP,0.36033899999999996,1022
121,dry,PP,0.12334,486
122,dry,NP_PP,0.102789,254
123,dry,SCOMP,0.027436000000000002,195
124,dry,NP PRT +,0.038965,66
125,dust,NONE,0.180796,219
126,dust,NP,0.24513800000000002,214
127,dust,PP,0.137214,172
128,dust,NP_PP,0.15066500000000002,117
129,dust,NP PRT +,0.153315,102
130,dust,PP_PP,0.030375,14
131,dust,NP_AP,0.029706,3
132,dust,NONE,0.039195,0
133,dust,PP,0.033595,0
134,eat,NP,0.292714,3147
135,eat,NONE,0.27546,2868
136,eat,PP,0.13452,589
137,eat,NP_PP,0.076938,451
138,eat,NP_NP,0.024118999999999998,390
139,eat,PP,0.049109,1
140,eat,NONE,0.049047,0
141,eat,NP,0.049047,0
142,eat,PP,0.049047,0
143,fade,NONE,0.45724499999999996,3685
144,fade,PP,0.245137,2190
145,fade,NP,0.20572100000000001,0
146,fade,NP_PP,0.063701,0
147,fade,NP,0.028194999999999998,0
148,flood,NP,0.421008,2431
149,flood,NP_PP,0.290135,1659
150,flood,PP,0.079942,665
151,flood,NONE,0.078316,537
152,flood,NP_NP,0.029766,349
153,flood,NP_PP PRT +,0.029025,68
154,flood,NP PRT +,0.048583,25
155,flood,PP,0.023225,0
156,fray,NONE,0.299933,168
157,fray,NP,0.34339400000000003,142
158,fray,PP,0.14979,97
159,fray,NP_PP,0.156708,93
160,fray,PP,0.023107,2
161,fray,NP,0.027068000000000002,0
162,freeze,NP,0.44417700000000004,406
163,freeze,NONE,0.30641799999999997,296
164,freeze,PP,0.108022,95
165,freeze,NP_PP,0.107243,74
166,freeze,NP PRT +,0.03414,10
167,grow,NONE,0.473405,3302
168,grow,AP,0.213477,1489
169,grow,PP,0.145233,1013
170,grow,NP,0.135914,948
171,grow,NP_PP,0.031971,223
172,halt,NP,0.695645,4089
173,halt,NP_PP,0.233923,1375
174,halt,PP,0.04066,239
175,halt,NP_PP,0.029772000000000003,175
176,heal,NP,0.454858,2487
177,heal,NONE,0.35122,2199
178,heal,NP_PP,0.1092,445
179,heal,NP PRT +,0.030719,16
180,heal,PP,0.054002999999999995,0
181,heat,NP,0.322893,1659
182,heat,NP_PP,0.130022,807
183,heat,NONE,0.198397,731
184,heat,SCOMP,0.041623,367
185,heat,NP_NP,0.055995,324
186,heat,NP_PP,0.07513,323
187,heat,PP,0.08712,259
188,heat,NP_PP,0.026652,235
189,heat,NP PRT +,0.062169,39
190,hum,NONE,0.538851,638
191,hum,PP,0.244932,290
192,hum,NP,0.188345,223
193,hum,NP_PP,0.027872000000000004,33
194,ignite,NP,0.49749399999999994,2434
195,ignite,NP_PP,0.18807000000000001,1038
196,ignite,NONE,0.201997,577
197,ignite,PP,0.084174,266
